Date,Close,Open,High,Low,Volume,Change
2020-06-09,753.82,756.02,756.45,746.56,1530000000.0,0.001
2020-06-10,758.62,754.3,759.48,752.29,1580000000.0,0.0064
2020-06-11,757.06,760.07,766.96,752.04,1450000000.0,-0.0021
2020-06-12,746.06,722.91,747.37,722.81,1320000000.0,-0.014499999999999999
2020-06-15,693.15,745.6,747.21,693.15,1470000000.0,-0.0709
2020-06-16,735.38,716.6,735.74,714.14,1320000000.0,0.060899999999999996
2020-06-17,735.4,731.91,743.11,717.68,1410000000.0,0.0
2020-06-18,737.33,738.11,743.12,732.92,1240000000.0,0.0026
2020-06-19,742.03,743.35,743.94,732.55,1530000000.0,0.0064
2020-06-22,751.64,742.98,752.98,741.78,1340000000.0,0.013000000000000001
2020-06-23,753.23,758.61,761.37,744.26,1580000000.0,0.0021
2020-06-24,759.5,758.15,765.21,755.12,1330000000.0,0.0083
2020-06-25,750.36,749.81,757.23,745.98,1360000000.0,-0.012
2020-06-26,750.58,758.62,758.62,742.57,1520000000.0,0.0003
2020-06-29,734.69,743.88,747.3,732.86,1350000000.0,-0.0212
2020-06-30,737.97,744.54,744.54,731.76,1640000000.0,0.0045000000000000005
2020-07-01,727.58,743.53,744.03,726.36,1180000000.0,-0.0141
2020-07-02,742.55,732.94,742.55,732.09,1160000000.0,0.0206
2020-07-03,752.18,746.13,752.22,741.11,1290000000.0,0.013000000000000001
2020-07-06,759.9,754.74,759.93,750.43,1140000000.0,0.0103
2020-07-07,759.16,763.4,764.46,755.44,1290000000.0,-0.001
2020-07-08,765.96,761.19,765.96,758.38,1310000000.0,0.009000000000000001
2020-07-09,772.9,770.46,774.5,769.31,1470000000.0,0.0091
2020-07-10,772.81,773.75,775.99,766.51,1330000000.0,-0.0001
2020-07-13,781.19,777.92,781.19,773.08,1400000000.0,0.0108
2020-07-14,778.39,776.19,782.7,775.29,1640000000.0,-0.0036
2020-07-15,781.29,783.14,783.29,775.96,1530000000.0,0.0037
2020-07-16,775.07,783.24,783.24,769.39,1630000000.0,-0.008
2020-07-17,783.22,776.97,783.32,775.78,1370000000.0,0.0105
2020-07-20,781.96,786.25,786.29,776.97,1400000000.0,-0.0016
2020-07-21,790.58,787.3,792.2,785.75,1500000000.0,0.011000000000000001
2020-07-22,794.99,790.58,795.32,785.97,1480000000.0,0.005600000000000001
2020-07-23,801.69,796.46,803.07,792.27,1380000000.0,0.0084
2020-07-24,794.8,796.08,804.61,788.72,1460000000.0,-0.0086
2020-07-27,801.23,795.19,804.58,795.19,1290000000.0,0.008100000000000001
2020-07-28,807.85,807.29,810.97,802.04,1550000000.0,0.0083
2020-07-29,808.59,807.71,809.77,804.29,1180000000.0,0.0009
2020-07-30,814.19,812.83,814.41,808.02,1300000000.0,0.0069
2020-07-31,815.3,817.52,818.7,814.23,1360000000.0,0.0014000000000000002
2020-08-03,827.57,820.41,827.79,815.15,1520000000.0,0.015
2020-08-04,835.35,833.28,835.35,830.55,1510000000.0,0.009399999999999999
2020-08-05,847.28,837.19,847.38,837.11,1520000000.0,0.0143
2020-08-06,854.12,854.02,855.73,847.9,1500000000.0,0.008100000000000001
2020-08-07,857.63,858.3,859.43,849.01,1400000000.0,0.0040999999999999995
2020-08-10,862.76,859.53,863.8,854.48,1460000000.0,0.006
2020-08-11,860.23,863.07,863.72,858.0,1530000000.0,-0.0029
2020-08-12,845.6,858.88,858.88,836.58,1670000000.0,-0.017
2020-08-13,854.77,854.82,862.98,852.15,1810000000.0,0.0108
2020-08-14,835.03,854.71,854.71,831.15,1730000000.0,-0.0231
2020-08-18,800.22,834.55,834.55,794.91,1900000000.0,-0.0417
2020-08-19,818.74,810.86,818.74,805.52,1600000000.0,0.0231
2020-08-20,791.14,816.63,821.11,785.0,1810000000.0,-0.0337
2020-08-21,796.01,801.14,802.7,781.41,1660000000.0,0.0062
2020-08-24,815.74,798.2,815.74,787.93,1520000000.0,0.0248
2020-08-25,836.31,821.53,836.41,820.02,1610000000.0,0.0252
2020-08-26,841.35,838.86,842.48,827.27,2150000000.0,0.006
2020-08-27,836.4,842.38,842.83,832.74,2950000000.0,-0.0059
2020-08-28,841.3,841.76,850.38,837.86,2109999999.9999998,0.0059
2020-08-31,848.24,847.97,852.54,839.63,1890000000.0,0.008199999999999999
2020-09-01,853.37,850.58,854.22,847.53,1840000000.0,0.006
2020-09-02,866.74,859.58,866.87,858.23,1840000000.0,0.015700000000000002
2020-09-03,874.13,871.02,874.16,869.84,1760000000.0,0.0085
2020-09-04,866.04,841.37,866.9,841.37,1730000000.0,-0.009300000000000001
2020-09-07,878.88,872.03,879.36,864.39,1880000000.0,0.0148
2020-09-08,878.29,884.72,887.01,874.31,2520000000.0,-0.0007000000000000001
2020-09-09,869.47,864.91,877.67,864.17,2370000000.0,-0.01
2020-09-10,884.3,881.12,884.3,874.77,1990000000.0,0.0171
2020-09-11,888.44,881.23,888.44,877.58,1990000000.0,0.004699999999999999
2020-09-14,894.17,894.38,894.8,886.48,1700000000.0,0.0064
2020-09-15,899.46,898.63,899.64,893.24,2100000000.0,0.0059
2020-09-16,896.28,901.75,905.56,891.99,2410000000.0,-0.0034999999999999996
2020-09-17,885.18,897.88,898.43,883.5,2290000000.0,-0.0124
