티커,종목명,시가,종가,변동폭,등락률,거래량,거래대금
095570,AJ네트웍스,8030,8390,360,4.48,1809512,14437661840
006840,AK홀딩스,16350,16450,100,0.61,175328,2893172000
027410,BGF,4215,4245,30,0.71,1723346,7370311660
282330,BGF리테일,181000,171500,-9500,-5.25,808391,140089235500
138930,BNK금융지주,6790,6850,60,0.88,14517931,98746067580
001460,BYC,424500,414000,-10500,-2.47,1197,493580500
001465,BYC우,159000,153500,-5500,-3.46,1044,161978500
001040,CJ,79800,81000,1200,1.5,417753,33333859600
079160,CJCGV,20800,21100,300,1.44,2355045,50316926800
00104K,CJ4우전환,71400,71900,500,0.7,59807,4249111600
000120,CJ대한통운,116500,124500,8000,6.87,749838,90920511500
011150,CJ씨푸드,3295,3465,170,5.16,3357409,11594444560
011155,CJ씨푸드1우,27850,28750,900,3.23,1833,51504000
001045,CJ우,48100,50200,2100,4.37,35641,1743806350
097950,CJ제일제당,391500,416000,24500,6.26,739398,305798799750
097955,CJ제일제당우,169000,174500,5500,3.25,22958,4020067000
000590,CS홀딩스,66000,74800,8800,13.33,207508,15128136200
012030,DB,830,835,5,0.6,3342587,2769704254
016610,DB금융투자,5180,5060,-120,-2.32,463259,2391319930
005830,DB손해보험,60600,63800,3200,5.28,2220798,140430388490
000990,DB하이텍,45000,45200,200,0.44,10314140,457197994300
000995,DB하이텍1우,83900,86100,2200,2.62,28472,2573538900
139130,DGB금융지주,7720,7590,-130,-1.68,7044656,53538104160
001530,DI동일,18200,19750,1550,8.52,1459097,28244083950
000210,DL,65000,67100,2100,3.23,1752076,119096957300
001880,DL건설,21200,21300,100,0.47,423257,9267683650
000215,DL우,38650,39850,1200,3.1,40039,1592417800
375500,DL이앤씨,40550,42450,1900,4.69,3696177,159175024100
37550L,DL이앤씨2우전환,33900,34800,900,2.65,38108,1314469850
37550K,DL이앤씨우,28500,30250,1750,6.14,56271,1662727800
007340,DN오토모티브,57300,67000,9700,16.93,414354,25778265300
004840,DRB동일,4530,4660,130,2.87,224448,1034145885
155660,DSR,5740,5880,140,2.44,1053423,6356283880
069730,DSR제강,5020,5170,150,2.99,1239349,6568785910
017940,E1,44650,47200,2550,5.71,116767,5309757000
365550,ESR켄달스퀘어리츠,5190,5550,360,6.94,2182464,11939063713
383220,FF,149500,151500,2000,1.34,2092586,322412117000
007700,FF홀딩스,18950,19850,900,4.75,640346,12767430000
114090,GKL,14350,15400,1050,7.32,4074714,61076047650
078930,GS,41650,44350,2700,6.48,2184178,92069103400
006360,GS건설,29800,30950,1150,3.86,9615489,302168702350
001250,GS글로벌,3585,3670,85,2.37,111257420,421811122775
007070,GS리테일,24550,25500,950,3.87,2802549,70935981400
078935,GS우,34500,35800,1300,3.77,46611,1622045100
012630,HDC,6960,7030,70,1.01,737967,5134544480
039570,HDC랩스,8770,8710,-60,-0.68,292800,2563402610
089470,HDC현대EP,4070,4475,405,9.95,492730,2134740415
294870,HDC현대산업개발,12350,12600,250,2.02,4936651,63158115300
267250,HD현대,56900,59200,2300,4.04,1552244,89642944700
097230,HJ중공업,6900,6700,-200,-2.9,221507,1515041420
003580,HLB글로벌,9410,8880,-530,-5.63,7735672,73618356080
011200,HMM,24850,23250,-1600,-6.44,27191650,670852373300
082740,HSD엔진,8860,9110,250,2.82,8710509,79297719140
003560,IHQ,753,697,-56,-7.44,6148996,4474207776
175330,JB금융지주,7460,7740,280,3.75,4579940,34130701540
234080,JW생명과학,13800,13200,-600,-4.35,194535,2647093450
001060,JW중외제약,23850,22600,-1250,-5.24,952356,22119585900
001067,JW중외제약2우B,71400,71500,100,0.14,1350,95835900
001065,JW중외제약우,35700,36900,1200,3.36,3278,118716600
096760,JW홀딩스,3475,3400,-75,-2.16,416622,1440884850
105560,KB금융,48450,50800,2350,4.85,14747093,742233088354
002380,KCC,291500,300500,9000,3.09,532130,162162565500
344820,KCC글라스,47850,51500,3650,7.63,255990,12680811200
009070,KCTC,4755,5020,265,5.57,10061010,53786955800
009440,KC그린홀딩스,4955,4010,-945,-19.07,2445316,10792819805
119650,KC코트렐,4375,4150,-225,-5.14,1098759,4905602865
092220,KEC,2725,2920,195,7.16,49401772,142401186385
016380,KG스틸,12250,12400,150,1.22,8454995,106931824200
001390,KG케미칼,28100,27150,-950,-3.38,2318200,65859925750
033180,KH필룩스,1450,1555,105,7.24,20871184,32997594270
001940,KISCO홀딩스,14150,13950,-200,-1.41,374256,5311350800
025000,KPX케미칼,49300,49700,400,0.81,39947,2025441500
092230,KPX홀딩스,60300,60600,300,0.5,9886,597062200
000040,KR모터스,728,711,-17,-2.34,5049912,3617570767
044450,KSS해운,10250,10800,550,5.37,480065,5068796500
030200,KT,37750,38650,900,2.38,10251970,390920085725
033780,KTG,81900,81600,-300,-0.37,2835207,230465347900
058850,KTcs,2190,2405,215,9.82,3903819,9140665050
058860,KTis,2675,2835,160,5.98,2015847,5585475405
093050,LF,17450,17350,-100,-0.57,557150,9524676800
003550,LG,81100,83800,2700,3.33,2424616,199534038608
034220,LG디스플레이,15300,16900,1600,10.46,17818228,287009194800
051900,LG생활건강,779000,714000,-65000,-8.34,481746,361198288295
051905,LG생활건강우,378500,357500,-21000,-5.55,38878,14460934500
373220,LG에너지솔루션,422000,447000,25000,5.92,5726174,2562523399000
003555,LG우,62600,64500,1900,3.04,37423,2377574700
032640,LG유플러스,12500,12350,-150,-1.2,8409349,105149927000
011070,LG이노텍,363000,338500,-24500,-6.75,2459463,854826558250
066570,LG전자,94400,101000,6600,6.99,12052457,1187182010700
066575,LG전자우,46300,48850,2550,5.51,312622,15028114150
037560,LG헬로비전,5700,5220,-480,-8.42,9008703,50650966980
051910,LG화학,603000,640000,37000,6.14,3015852,1934006408748
051915,LG화학우,291000,308500,17500,6.01,196716,61282306500
079550,LIG넥스원,88000,90900,2900,3.3,4321783,390004650400
